aviario;aquecimento_BTU_square_meter;modelo_aquecedor;velocidade_ar;entrada_ar_falso;nota_aquecimento;nota_velocidade_ar;nota_resfriamento;nota_vedacao;nota_obtida_total;categoria;modelo_aviario;posicionamento_pinteiro;aquecimento_principal
101;544;Fornalha;3,1;1,28;24;19;20;0;63;D;Climatizado Dark;Meio;Campânula
102;280;Campânula;2,95;2,46;24;13;20;0;57;D;Climatizado Dark;Frente;Forno
103;587;Fornalha;2,8;1,15;24;13;20;0;57;D;Climatizado Lona Clara;Meio;Forno
104;333;Campânula;3,21;0;35;19;13;0;67;D;Climatizado Dark;Meio;Forno
105;960;Fornalha;1,7;2,74;35;0;20;0;55;D;Convencional Lona Clara;Meio;Forno
107;480;Fornalha;3,01;0;24;19;7;0;50;D;Climatizado Dark;Meio;Forno
108;620;Fornalha;2,86;2,4;35;13;13;0;61;D;Climatizado Dark;Meio;Forno
110;1072;Fornalha;2,3;2,06;35;7;13;0;55;D;Climatizado Dark;Meio;Forno
111;373;Campânula;2,53;2,97;35;13;13;0;61;D;Climatizado Dark;Meio;Forno
112;844;Fornalha;2,61;0,64;35;13;20;10;78;C;Climatizado Dark;Meio;Forno
113;455;Fornalha;2,41;0,96;12;7;20;5;44;E;Climatizado Isolado Forro;Meio;Forno
114;396;Fornalha;2,38;1,96;12;7;20;0;39;E;Convencional Lona Clara;Meio;Forno
115;374;Campânula;2,33;1,12;35;7;13;0;55;D;Climatizado Dark;Meio;Campânula
117;438;Fornalha;1,93;0;12;0;13;0;25;F;Convencional Lona Clara;Meio;Campânula
118;504;Fornalha;3,9;0,23;24;25;7;20;76;C;Convencional Lona Clara;Frente;Forno
120;212;Campânula;2,36;0;12;7;13;0;32;E;Climatizado Dark;Meio;Forno
121;350;Fornalha;2,85;1,43;12;13;20;0;45;E;Climatizado Dark;Meio;Forno
122;292;Campânula;2,71;3,37;24;13;7;0;44;E;Convencional Lona Clara;Meio;Forno
123;520;Fornalha;1,7;1,6;24;0;7;0;31;E;Climatizado Dark;Meio;Campânula
124;599;Campânula;2,58;1,27;35;13;20;0;68;D;Climatizado Dark;Meio;Campânula
125;635;Fornalha;2,31;0;35;7;13;0;55;D;Convencional Lona Clara;Meio;Forno
126;660;Fornalha;2,7;0;35;13;13;0;61;D;Convencional Lona Clara;Frente;Forno
127;330;Campânula;3,58;0,25;35;25;20;20;100;B;Climatizado Lona Clara;Meio;Forno
129;304;Campânula;2,53;1,23;24;13;13;0;50;D;Climatizado Dark;Meio;Forno
130;304;Campânula;2,63;0,9;24;13;13;5;55;D;Climatizado Dark;Meio;Campânula
131;1266;Fornalha;3,73;0,67;35;25;7;10;77;C;Climatizado Dark;Meio;Forno
132;529;Fornalha;2,81;2,46;24;13;7;0;44;E;Convencional Lona Clara;Meio;Forno
133;591;Fornalha;1,8;0;24;0;13;0;37;E;Convencional Lona Clara;Meio;Forno
134;338;Campânula;3;0,8;35;19;20;5;79;C;Climatizado Dark;Meio;Forno
135;550;Fornalha;3,08;0,82;24;19;20;5;68;D;Climatizado Dark;Meio;Forno
136;250;Campânula;2,93;0;24;13;13;0;50;D;Climatizado Lona Clara;Meio;Forno
137;575;Fornalha;3,1;2,9;24;19;13;0;56;D;Convencional Dark;Meio;Campânula
138;821;Fornalha;2,93;1,3;35;13;7;0;55;D;Climatizado Dark;Meio;Forno
139;680;Fornalha;2,83;4,17;35;13;7;0;55;D;Climatizado Dark;Meio;Forno
140;287;Fornalha;2,71;0,91;0;13;13;5;31;E;Climatizado Dark;Meio;Forno
141;630;Fornalha;2,53;1,85;35;13;13;0;61;D;Climatizado Dark;Meio;Forno
142;392;Campânula;2,51;0,96;35;13;20;5;73;C;Convencional Lona Clara;Meio;Forno
143;360;Campânula;4;0;35;25;13;0;73;C;Climatizado Dark;Meio;Campânula
144;443;Campânula;2,56;0;35;13;13;0;61;D;Climatizado Dark;Meio;Campânula
145;443;Campânula;2,38;0;35;7;13;0;55;D;Climatizado Dark;Meio;Campânula
147;569;Fornalha;3,23;0,86;24;19;20;5;68;D;Climatizado Dark;Meio;Forno
148;569;Fornalha;3,43;0,86;24;19;20;5;68;D;Climatizado Dark;Meio;Campânula
149;527;Fornalha;2,93;0,93;24;13;20;5;62;D;Climatizado Lona Clara;Meio;Forno
150;525;Campânula;2,65;1,36;35;13;20;0;68;D;Climatizado Dark;Meio;Campânula
151;196;Campânula;2,4;1,04;12;7;20;0;39;E;Climatizado Lona Clara;Meio;Campânula
152;196;Campânula;2,55;1,4;12;13;20;0;45;E;Climatizado Dark;Meio;Forno
154;342;Campânula;3,01;0,87;35;19;20;5;79;C;Climatizado Dark;Meio;Forno
155;380;Campânula;2,96;2,4;35;13;13;0;61;D;Climatizado Dark;Meio;Campânula
156;380;Campânula;2,96;2,4;35;13;13;0;61;D;Convencional Lona Clara;Meio;Forno
157;320;Campânula;2,58;0;24;13;20;0;57;D;Climatizado Lona Clara;Meio;Campânula
158;350;Campânula;3,06;0,98;35;19;20;5;79;C;Climatizado Dark;Meio;Forno
159;645;Fornalha;1,9;0;35;0;13;0;48;E;Convencional Dark;Meio;Forno
160;408;Campânula;3,4;0,52;35;19;20;15;89;B;Climatizado Dark;Meio;Forno
161;381;Fornalha;3,37;0,67;12;19;20;10;61;D;Convencional Dark;Meio;Forno
162;222;Campânula;2,5;0;12;13;20;0;45;E;Climatizado Lona Clara;Meio;Campânula
163;310;Campânula;2,3;1,45;24;7;20;0;51;D;Climatizado Dark;Meio;Forno
164;233;Campânula;2,13;0;12;7;20;0;39;E;Climatizado Dark;Meio;Forno
165;647;Fornalha;3,03;1,37;35;19;20;0;74;C;Climatizado Dark;Meio;Campânula
166;335;Campânula;2,71;1,56;35;13;20;0;68;D;Climatizado Dark;Meio;Campânula
167;604;Fornalha;2,33;1,8;24;7;20;0;51;D;Climatizado Dark;Meio;Campânula
169;291;Campânula;2,5;0;24;13;13;0;50;D;Climatizado Dark;Meio;Forno
170;672;Campânula;3,7;0,49;35;25;20;15;95;B;Climatizado Dark;Meio;Campânula
171;670;Campânula;3,7;0,6;35;25;20;10;90;A;Climatizado Dark;Meio;Forno
172;321;Campânula;3,53;1,26;24;25;20;0;69;D;Climatizado Lona Clara;Meio;Forno
181;260;Campânula;3,71;1,74;24;25;13;0;62;D;Climatizado Dark;Meio;Forno
182;260;Campânula;3,51;1,79;24;25;13;0;62;D;Climatizado Dark;Meio;Campânula
183;869;Fornalha;3,48;0,68;35;19;20;10;84;C;Convencional Lona Clara;Meio;Forno
184;527;Fornalha;2,58;0,88;24;13;13;5;55;D;Climatizado Dark;Meio;Forno
185;305;Campânula;3,08;1,08;24;19;20;0;63;D;Convencional Lona Clara;Meio;Campânula
186;635;Fornalha;2,15;1,25;35;7;13;0;55;D;Climatizado Lona Clara;Meio;Forno
188;547;Fornalha;2,05;1,22;24;7;13;0;44;E;Climatizado Dark;Meio;Forno
189;504;Fornalha;2,18;1,28;24;7;13;0;44;E;Climatizado Dark;Meio;Forno
190;330;Campânula;3,02;0,7;35;19;20;10;84;C;Climatizado Dark;Meio;Forno
191;960;Fornalha;2,6;2,13;35;13;20;0;68;D;Climatizado Dark;Meio;Campânula
192;277;Campânula;2,76;1,03;24;13;20;0;57;D;Convencional Lona Clara;Meio;Forno
193;339;Campânula;1,88;1,1;35;0;13;0;48;E;Climatizado Dark;Meio;Forno
194;583;Fornalha;2,53;2,52;24;13;7;0;44;E;Climatizado Dark;Meio;Forno
195;336;Campânula;2,48;1,12;35;7;13;0;55;D;Climatizado Dark;Meio;Forno
196;464;Fornalha;3,01;0,43;12;19;13;15;59;D;Climatizado Dark;Meio;Forno
197;330;Campânula;3,2;0,72;35;19;20;10;84;C;Indefinido;Indefinido;Indefinido
200;866;Fornalha;2,88;1,76;35;13;20;0;68;D;Climatizado Dark;Meio;Campânula
201;262;Campânula;2,7;0;24;13;7;0;44;E;Convencional Lona Clara;Meio;Campânula
202;622;Campânula;3;1,09;35;19;20;0;74;C;Convencional Lona Clara;Meio;Forno
203;622;Campânula;3;0,64;35;19;20;10;84;C;Convencional Lona Clara;Meio;Campânula
204;960;Fornalha;1,86;2,45;35;0;20;0;55;D;Climatizado Dark;Meio;Forno
205;344;Campânula;3,3;1,36;35;19;13;0;67;D;Climatizado Dark;Meio;Forno
206;496;Fornalha;2,46;4,26;24;7;13;0;44;E;Climatizado Dark;Meio;Forno
207;284;Campânula;2,85;0;24;13;13;0;50;D;Climatizado Lona Clara;Frente;Forno
208;349;Fornalha;3,53;1,6;0;25;7;0;32;E;Convencional Lona Clara;Meio;Forno
209;320;Campânula;3,43;0,49;24;19;20;15;78;C;Convencional Dark;Meio;Campânula
210;320;Campânula;3,16;0,49;24;19;20;15;78;C;Climatizado Dark;Meio;Forno
211;284;Campânula;3,1;0;24;19;13;0;56;D;Convencional Lona Clara;Meio;Campânula
212;496;Fornalha;1,7;3,4;24;0;13;0;37;E;Climatizado Lona Clara;Meio;Campânula
215;388;Campânula;2,73;1,51;35;13;20;0;68;D;Climatizado Dark;Meio;Campânula
216;298;Campânula;3,05;1,14;24;19;20;0;63;D;Convencional Lona Clara;Meio;Forno
217;333;Campânula;3,31;1,83;35;19;7;0;61;D;Convencional Lona Clara;Meio;Campânula
218;389;Campânula;3,2;1,25;35;19;20;0;74;C;Convencional Lona Clara;Meio;Campânula
219;238;Campânula;2,96;1,21;12;13;20;0;45;E;Climatizado Dark;Meio;Forno
220;360;Fornalha;2,31;0;12;7;13;0;32;E;Climatizado Dark;Meio;Campânula
221;360;Fornalha;1,93;0;12;0;13;0;25;F;Climatizado Dark;Meio;Forno
222;360;Fornalha;1,95;0;12;0;13;0;25;F;Convencional Lona Clara;Meio;Forno
224;724;Fornalha;2,3;6,09;35;7;7;0;49;E;Convencional Lona Clara;Meio;Forno
225;724;Fornalha;2,21;0;35;7;0;0;42;E;Climatizado Dark;Meio;Forno
226;333;Campânula;3,08;0,84;35;19;20;5;79;C;Climatizado Dark;Meio;Forno
227;579;Fornalha;2,06;0;24;7;13;0;44;E;Indefinido;Indefinido;Indefinido
228;216;Campânula;3,21;1,22;12;19;7;0;38;E;Climatizado Lona Clara;Meio;Forno
229;264;Campânula;2,93;1,65;24;13;7;0;44;E;Climatizado Lona Clara;Meio;Campânula
230;305;Campânula;2,81;1,46;24;13;20;0;57;D;Climatizado Dark;Meio;Forno
231;260;Campânula;3,3;2,29;24;19;13;0;56;D;Climatizado Dark;Meio;Forno
232;268;Campânula;3,53;2,22;24;25;13;0;62;D;Climatizado Dark;Meio;Forno
236;734;Fornalha;3,1;2,78;35;19;7;0;61;D;Climatizado Dark;Meio;Campânula
237;364;Campânula;2,81;0;35;13;7;0;55;D;Climatizado Lona Clara;Frente;Forno
238;342;Campânula;2,56;0;35;13;7;0;55;D;Climatizado Dark;Meio;Forno
239;650;Fornalha;2,8;1,49;35;13;20;0;68;D;Climatizado Dark;Meio;Forno
240;320;Campânula;3;1,39;24;19;20;0;63;D;Climatizado Dark;Meio;Campânula
241;463;Fornalha;2,54;1,28;12;13;13;0;38;E;Climatizado Dark;Meio;Forno
245;365;Campânula;3,11;1,93;35;19;7;0;61;D;Climatizado Dark;Meio;Forno
246;634;Fornalha;2,2;0;35;7;13;0;55;D;Climatizado Lona Clara;Meio;Forno
247;320;Campânula;2,56;0;24;13;20;0;57;D;Climatizado Dark;Meio;Forno
248;320;Campânula;2,8;0,92;24;13;20;5;62;D;Climatizado Lona Clara;Meio;Campânula
249;258;Fornalha;2,18;0;0;7;20;0;27;F;Climatizado Lona Clara;Meio;Campânula
250;250;Campânula;3,1;0;24;19;13;0;56;D;Climatizado Dark;Frente;Forno
251;334;Campânula;3,51;1,1;35;25;20;0;80;C;Climatizado Dark;Meio;Forno
252;334;Campânula;3,55;1,1;35;25;20;0;80;C;Climatizado Lona Clara;Meio;Campânula
253;240;Fornalha;1,91;2,24;0;0;13;0;13;F;Climatizado Lona Clara;Frente;Campânula
255;420;Campânula;2,56;2,43;35;13;13;0;61;D;Convencional Lona Clara;Meio;Forno
256;460;Campânula;2,81;1,23;35;13;20;0;68;D;Indefinido;Indefinido;Indefinido
258;1258;Fornalha;3,01;0,68;35;19;13;10;77;C;Climatizado Dark;Meio;Forno
261;320;Campânula;2,53;0;24;13;13;0;50;D;Convencional Lona Clara;Meio;Forno
262;514;Fornalha;2,83;1,91;24;13;13;0;50;D;Convencional Lona Clara;Meio;Forno
265;1340;Fornalha;3,25;2,42;35;19;20;0;74;C;Convencional Lona Clara;Meio;Campânula
267;645;Fornalha;2,75;2,08;35;13;7;0;55;D;Convencional Lona Clara;Meio;Forno
270;520;Fornalha;2,51;1,43;24;13;20;0;57;D;Climatizado Lona Clara;Meio;Forno
271;544;Fornalha;3,01;1,45;24;19;20;0;63;D;Convencional Lona Clara;Meio;Forno
272;555;Fornalha;2,93;0,64;24;13;13;10;60;D;Convencional Lona Clara;Frente;Forno
273;534;Campânula;2,95;1,36;35;13;20;0;68;D;Climatizado Dark;Meio;Forno
274;344;Campânula;3,28;0,81;35;19;20;5;79;C;Climatizado Lona Clara;Meio;Forno
275;233;Campânula;2,18;0;12;7;13;0;32;E;Climatizado Dark;Meio;Forno
277;355;Campânula;3,53;1,09;35;25;13;0;73;C;Convencional Lona Clara;Meio;Forno
279;345;Campânula;3,3;0;35;19;13;0;67;D;Climatizado Dark;Meio;Forno
280;320;Campânula;1,83;2,89;24;0;20;0;44;E;Climatizado Dark;Meio;Forno
281;333;Campânula;2,93;0;35;13;13;0;61;D;Climatizado Dark;Meio;Forno
282;296;Campânula;2,85;0;24;13;7;0;44;E;Convencional Lona Clara;Frente;Campânula
283;552;Fornalha;3,56;0,65;24;25;20;10;79;C;Climatizado Dark;Meio;Campânula
284;344;Campânula;3,21;1,26;35;19;13;0;67;D;Climatizado Lona Clara;Frente;Forno
285;688;Fornalha;3,1;1,61;35;19;20;0;74;C;Indefinido;Indefinido;Indefinido
286;291;Campânula;2,43;1,23;24;7;20;0;51;D;Climatizado Lona Clara;Fundo;Forno
289;581;Fornalha;2,65;3,52;24;13;7;0;44;E;Climatizado Dark;Meio;Campânula
290;1235;Fornalha;3,26;2,8;35;19;7;0;61;D;Convencional Lona Clara;Frente;Forno
294;188;Campânula;2,85;2,3;12;13;7;0;32;E;Climatizado Dark;Meio;Forno
295;242;Campânula;2,67;2,85;12;13;7;0;32;E;Climatizado Dark;Meio;Forno
296;778;Fornalha;3;4,17;35;19;7;0;61;D;Climatizado Dark;Meio;Forno
297;266;Campânula;4;0,43;24;25;20;15;84;C;Climatizado Dark;Meio;Forno
298;266;Campânula;3,9;0,3;24;25;20;20;89;B;Climatizado Dark;Meio;Forno
300;545;Fornalha;3,53;1,92;24;25;7;0;56;D;Indefinido;Indefinido;Indefinido
302;465;Fornalha;3,11;2,21;24;19;7;0;50;D;Climatizado Lona Clara;Meio;Campânula
303;382;Fornalha;2,45;0,15;12;7;20;20;59;D;Convencional Lona Clara;Meio;Forno
304;834;Fornalha;2,25;1,1;35;7;20;0;62;D;Convencional Lona Clara;Meio;Turbo Aquecedor
305;464;Fornalha;3;0,68;12;19;20;10;61;D;Convencional Lona Clara;Meio;Turbo Aquecedor
306;525;Campânula;2,48;0,9;35;7;20;5;67;D;Climatizado Dark;Meio;Forno
307;596;Fornalha;2,86;3,52;24;13;20;0;57;D;Climatizado Dark;Frente;Campânula
308;1226;Fornalha;2,53;2,81;35;13;7;0;55;D;Convencional Lona Clara;Meio;Forno
309;339;Campânula;2,16;0;35;7;13;0;55;D;Climatizado Lona Clara;Meio;Forno
310;1102;Fornalha;3,23;0,82;35;19;20;5;79;C;Convencional Lona Clara;Meio;Forno
311;564;Fornalha;3,1;0,91;24;19;20;5;68;D;Convencional Lona Clara;Meio;Forno
312;280;Campânula;2,01;2,2;24;7;7;0;38;E;Convencional Lona Clara;Meio;Forno
313;256;Campânula;2,96;1,07;24;13;13;0;50;D;Convencional Lona Clara;Meio;Forno
314;170;Fornalha;2,61;1,02;0;13;13;0;26;F;Convencional Lona Clara;Meio;Campânula
315;900;Fornalha;3,35;0,91;35;19;20;5;79;C;Indefinido;Indefinido;Indefinido
316;390;Fornalha;3,33;1,96;12;19;20;0;51;D;Convencional Lona Clara;Meio;Campânula
317;438;Fornalha;1,86;0;12;0;13;0;25;F;Climatizado Dark;Meio;Forno
318;291;Campânula;2,61;0,75;24;13;20;10;67;D;Climatizado Dark;Meio;Campânula
319;350;Campânula;3,1;1,6;35;19;13;0;67;D;Climatizado Dark;Meio;Campânula
321;741;Fornalha;3,91;1,02;35;25;7;0;67;D;Climatizado Dark;Meio;Campânula
322;317;Campânula;2,16;2,24;24;7;13;0;44;E;Climatizado Lona Clara;Meio;Forno
323;291;Campânula;1,48;0;24;0;13;0;37;E;Convencional Lona Clara;Meio;Forno
324;291;Campânula;1,58;0;24;0;13;0;37;E;Climatizado Dark;Meio;Forno
325;311;Campânula;3,15;0,98;24;19;13;5;61;D;Climatizado Dark;Meio;Campânula
326;311;Campânula;3,13;0,84;24;19;13;5;61;D;Climatizado Dark;Meio;Campânula
327;311;Campânula;3,08;0,95;24;19;13;5;61;D;Climatizado Dark;Meio;Campânula
328;311;Campânula;3,1;0,9;24;19;13;5;61;D;Climatizado Dark;Meio;Campânula
329;204;Fornalha;2,7;0;0;13;20;0;33;E;Convencional Lona Clara;Meio;Forno
330;617;Fornalha;1,99;3,43;35;0;7;0;42;E;Convencional Lona Clara;Meio;Forno
331;355;Campânula;2,91;0,39;35;13;20;20;88;B;Climatizado Dark;Meio;Forno
332;455;Campânula;1,96;1,03;35;0;20;0;55;D;Convencional Dark;Meio;Forno
333;350;Campânula;2,41;1,02;35;7;20;0;62;D;Climatizado Dark;Meio;Forno
334;702;Fornalha;2,03;1,38;35;7;7;0;49;E;Convencional Lona Clara;Meio;Forno
335;170;Campânula;3,78;1,72;12;25;7;0;44;E;Indefinido;Indefinido;Indefinido
336;220;Campânula;3,25;2,83;12;19;7;0;38;E;Convencional Lona Clara;Meio;Forno
337;520;Campânula;3,7;0,49;35;25;20;15;95;A;Convencional Lona Clara;Meio;Forno
339;679;Fornalha;3,66;0,44;35;25;20;15;95;B;Climatizado Dark;Meio;Forno
340;240;Fornalha;3,08;1,27;0;19;20;0;39;E;Climatizado Dark;Frente;Turbo Aquecedor
345;393;Fornalha;3,66;0,77;12;25;7;10;54;D;Climatizado Lona Clara;Frente;Forno
347;300;Campânula;2,88;0,7;24;13;20;10;67;D;Climatizado Dark;Meio;Forno
349;292;Campânula;2,8;3,37;24;13;7;0;44;E;Convencional Lona Clara;Meio;Forno
350;443;Campânula;2,56;0;35;13;13;0;61;D;Indefinido;Indefinido;Indefinido
351;336;Campânula;3,14;0,67;35;19;20;10;84;C;Convencional Lona Clara;Meio;Campânula
352;336;Campânula;3,11;0,67;35;19;20;10;84;C;Convencional Lona Clara;Meio;Campânula
353;336;Campânula;3,15;0,68;35;19;20;10;84;C;Convencional Lona Clara;Meio;Campânula
354;336;Campânula;3,18;0,67;35;19;20;10;84;C;Convencional Lona Clara;Meio;Campânula
355;438;Fornalha;2,23;0;12;7;13;0;32;E;Convencional Lona Clara;Meio;Forno
356;468;Fornalha;2,8;0;24;13;7;0;44;E;Convencional Dark;Meio;Forno
357;620;Fornalha;3,08;2,4;35;19;13;0;67;D;Convencional Lona Clara;Meio;Forno
360;280;Campânula;2,88;0,77;24;13;13;10;60;D;Convencional Lona Clara;Meio;Forno
361;280;Campânula;2,96;0,67;24;13;13;10;60;D;Indefinido;Indefinido;Indefinido
362;280;Campânula;2,8;0,77;24;13;13;10;60;D;Indefinido;Indefinido;Indefinido
363;280;Campânula;2,9;0,81;24;13;13;5;55;D;Convencional Lona Clara;Meio;Campânula
365;183;Campânula;3,8;0,68;12;25;7;10;54;D;Convencional Lona Clara;Meio;Campânula
366;183;Campânula;4,05;0,34;12;25;7;20;64;D;Convencional Lona Clara;Meio;Forno
367;615;Fornalha;3,5;0,82;35;25;20;5;85;A;Convencional Lona Clara;Frente;Forno
368;218;Campânula;2,7;0,53;12;13;13;15;53;D;Convencional Lona Clara;Meio;Forno
369;560;Fornalha;3,32;0,78;24;19;20;10;73;C;Convencional Lona Clara;Meio;Forno
370;379;Campânula;2,23;1,38;35;7;0;0;42;E;Convencional Lona Clara;Meio;Forno
371;355;Campânula;3,08;0,51;35;19;20;15;89;B;Convencional Lona Clara;Meio;Forno
373;679;Fornalha;2,8;0;35;13;7;0;55;D;Convencional Lona Clara;Meio;Forno
374;679;Fornalha;2,9;0;35;13;7;0;55;D;Convencional Lona Clara;Frente;Forno
375;679;Fornalha;2,37;0;35;7;0;0;42;E;Convencional Lona Clara;Meio;Campânula
376;500;Fornalha;2,67;1;24;13;20;0;57;D;Convencional Lona Clara;Meio;Forno
378;335;Campânula;3,18;0,66;35;19;13;10;77;C;Climatizado Dark;Meio;Campânula
379;410;Campânula;2,91;1,27;35;13;20;0;68;D;Climatizado Dark;Meio;Campânula
380;389;Campânula;2,56;1,27;35;13;20;0;68;D;Climatizado Dark;Meio;Campânula
381;285;Campânula;2,6;1,66;24;13;13;0;50;D;Convencional Lona Clara;Meio;Forno
383;280;Campânula;1,98;1,61;24;0;7;0;31;E;Convencional Lona Clara;Meio;Forno
384;1045;Fornalha;1,86;3,72;35;0;20;0;55;D;Convencional Lona Clara;Meio;Forno
385;1045;Fornalha;2,3;1,94;35;7;20;0;62;D;Climatizado Dark;Meio;Campânula
386;630;Fornalha;3,2;2,2;35;19;13;0;67;D;Convencional Lona Clara;Meio;Forno
387;531;Campânula;2,25;0;35;7;7;0;49;E;Convencional Lona Clara;Meio;Forno
388;465;Fornalha;2,5;2,1;24;13;0;0;37;E;Convencional Lona Clara;Meio;Forno
391;447;Campânula;2,01;15,9;35;7;7;0;49;E;Climatizado Dark;Meio;Forno
392;318;Campânula;2,51;0;24;13;0;0;37;E;Climatizado Dark;Meio;Forno
393;332;Campânula;2,36;0;35;7;0;0;42;E;Convencional Dark;Meio;Forno
394;395;Campânula;2,88;1,78;35;13;0;0;48;E;Convencional Dark;Meio;Forno
395;632;Fornalha;3,88;0,92;35;25;7;5;72;C;Convencional Lona Clara;Frente;Forno
396;433;Fornalha;3,31;0,92;12;19;7;5;43;E;Climatizado Dark;Meio;Campânula
397;630;Fornalha;2,88;0;35;13;7;0;55;D;Convencional Lona Clara;Meio;Forno
