aviario;tipo_aviario_classificacao
101;Climatizado
102;Climatizado
103;Climatizado
104;Climatizado
105;Climatizado
107;Convencional
108;Climatizado
110;Climatizado
111;Climatizado
112;Climatizado
113;Climatizado
114;Climatizado
115;Climatizado
117;Climatizado
118;Convencional
120;Climatizado
121;Climatizado
122;Climatizado
123;Convencional
124;Climatizado
125;Climatizado
126;Climatizado
129;Climatizado
130;Climatizado
131;Convencional
132;Convencional
133;Climatizado
134;Climatizado
135;Climatizado
136;Climatizado
137;Climatizado
138;Convencional
139;Convencional
140;Climatizado
141;Climatizado
142;Climatizado
143;Climatizado
144;Climatizado
145;Climatizado
147;Climatizado
148;Climatizado
149;Climatizado
150;Climatizado
151;Climatizado
152;Climatizado
153;Convencional
154;Climatizado
155;Climatizado
156;Climatizado
157;Climatizado
158;Climatizado
159;Climatizado
160;Climatizado
161;Climatizado
162;Climatizado
163;Climatizado
164;Climatizado
165;Climatizado
166;Climatizado
167;Climatizado
168;Climatizado
170;Climatizado
171;Climatizado
172;Climatizado
181;Climatizado
182;Climatizado
183;Convencional
184;Climatizado
185;Climatizado
186;Climatizado
188;Climatizado
189;Climatizado
190;Climatizado
191;Climatizado
192;Climatizado
193;Climatizado
194;Convencional
195;Climatizado
196;Climatizado
197;Climatizado
200;Climatizado
201;Climatizado
202;Climatizado
203;Climatizado
204;Climatizado
205;Climatizado
206;Climatizado
207;Climatizado
208;Convencional
209;Climatizado
210;Climatizado
211;Climatizado
212;Climatizado
215;Climatizado
216;Climatizado
217;Convencional
218;Convencional
219;Convencional
220;Climatizado
221;Climatizado
222;Climatizado
224;Convencional
226;Climatizado
228;Convencional
229;Convencional
230;Climatizado
231;Climatizado
232;Climatizado
236;Convencional
237;Convencional
238;Convencional
240;Climatizado
241;Climatizado
243;Climatizado
244;Climatizado
245;Convencional
246;Climatizado
247;Climatizado
248;Climatizado
249;Climatizado
250;Climatizado
251;Climatizado
252;Climatizado
253;Climatizado
255;Climatizado
256;Climatizado
257;Climatizado
258;Climatizado
259;Climatizado
260;Climatizado
261;Climatizado
262;Climatizado
265;Climatizado
267;Convencional
270;Climatizado
271;Climatizado
272;Climatizado
273;Climatizado
274;Climatizado
275;Climatizado
277;Climatizado
279;Climatizado
280;Climatizado
281;Climatizado
282;Convencional
283;Convencional
284;Climatizado
285;Climatizado
286;Climatizado
287;Climatizado
289;Convencional
290;Convencional
294;Convencional
295;Convencional
296;Convencional
297;Climatizado
298;Climatizado
299;Climatizado
300;Convencional
302;Convencional
303;Climatizado
304;Climatizado
305;Climatizado
306;Climatizado
307;Convencional
308;Convencional
309;Climatizado
310;Climatizado
311;Climatizado
312;Convencional
313;Climatizado
314;Convencional
315;Climatizado
316;Climatizado
317;Climatizado
318;Climatizado
319;Climatizado
321;Convencional
322;Climatizado
323;Climatizado
324;Climatizado
325;Climatizado
326;Climatizado
327;Climatizado
328;Climatizado
329;Climatizado
330;Convencional
331;Climatizado
332;Climatizado
333;Climatizado
334;Convencional
335;Convencional
336;Convencional
337;Climatizado
